regime,radius,radius_over_lc,total,temporal,spatial,mc_total,mc_se,mc_ci_low,mc_ci_high,variance_total,mT,mS
interior,0.498,0.498,0.4219786623068388,0.22042002661529958,0.2015586356915392,0.4186860794119406,0.0026566015647360927,0.41347914034505784,0.4238930184788233,0.4219786623068388,0.5,0.6974089797305554
interior,0.5,0.5,0.4217525747307282,0.22119921692859512,0.20055335780213307,0.4242183859521142,0.0026878090024566666,0.41895028030729914,0.42948649159692925,0.4217525747307282,0.5,0.693659319654529
interior,0.502,0.502,0.42153072219816023,0.22197762844104274,0.19955309375711747,0.4245896517075382,0.0026491900645979794,0.4193972391809262,0.4297820642341502,0.42153072219816023,0.5,0.6899349763756212
interior,0.504,0.504,0.4213130804808931,0.22275526193105388,0.19855781854983925,0.4202074452070318,0.0026475395037653194,0.4150182677796518,0.4253966226344118,0.4213130804808931,0.5,0.6862357238516547
interior,0.506,0.506,0.4210996254746285,0.22353211817626217,0.1975675072983663,0.4198986819844355,0.002649643517983149,0.4147053806891885,0.42509198327968245,0.4210996254746285,0.5,0.6825613386771353
interior,0.508,0.508,0.4208903331983898,0.22430819795352397,0.19658213524486584,0.4218011567816376,0.0026565098161506527,0.4165943975419823,0.4270079160212929,0.4208903331983898,0.5,0.6789116000448683
interior,0.51,0.51,0.4206851797939042,0.22508350203891903,0.19560167775498516,0.42009120152620644,0.0026737343440355233,0.4148506822118968,0.42533172084051607,0.4206851797939042,0.5,0.6752862897082395
interior,0.512,0.512,0.4204841415249875,0.2258580312077516,0.1946261103172359,0.41950566062985367,0.002661585930797953,0.41428895220548967,0.4247223690542177,0.4204841415249875,0.5,0.6716851919441572
interior,0.514,0.514,0.4202871947769323,0.22663178623455094,0.19365540854238136,0.4186579948146636,0.002661737731462445,0.4134409888609972,0.42387500076832996,0.4202871947769323,0.5,0.6681080935166326
interior,0.516,0.516,0.42009431605589853,0.22740476789307196,0.1926895481628266,0.4189742969669411,0.0026540397144433495,0.4137723791266321,0.4241762148072501,0.42009431605589853,0.5,0.664554783640991
interior,0.518,0.518,0.41990548198830846,0.22817697695629657,0.19172850503201186,0.42038922741992674,0.002655465626434159,0.41518451479211577,0.4255939400477377,0.41990548198830846,0.5,0.6610250539487004
interior,0.52,0.52,0.41972066932024255,0.22894841419643375,0.19077225512380883,0.42382096742843284,0.002672404917144706,0.4185830537908292,0.42905888106603646,0.41972066932024255,0.5,0.6575186984528028
interior,0.522,0.522,0.41953985491684076,0.22971908038492084,0.1898207745319199,0.4161409068052921,0.002623496097293644,0.41099885445459655,0.4212829591559876,0.41953985491684076,0.5,0.6540355135139393
interior,0.524,0.524,0.419363015761705,0.23048897629242415,0.1888740394692808,0.4216826357397625,0.0026975023664447895,0.4163955311015307,0.4269697403779943,0.419363015761705,0.5,0.650575297806956
interior,0.526,0.526,0.4191901289563053,0.23125810268883973,0.18793202626746558,0.42600313080393143,0.002690757823237621,0.4207292454703857,0.43127701613747715,0.4191901289563053,0.5,0.6471378522880763
interior,0.528,0.528,0.41902117171938913,0.23202646034329388,0.18699471137609522,0.41894587880937323,0.002625540656133577,0.4137998191233514,0.42409193849539506,0.41902117171938913,0.5,0.6437229801626346
interior,0.53,0.53,0.41885612138639294,0.23279405002414433,0.1860620713622486,0.414639016155595,0.0026455778434178127,0.4094536835824961,0.4198243487286939,0.41885612138639294,0.5,0.6403304868533535
interior,0.532,0.532,0.4186949554088576,0.23356087249898083,0.18513408290987676,0.4181660323799647,0.002649982471086281,0.41297206673663556,0.4233599980232938,0.4186949554088576,0.5,0.6369601799691581
interior,0.534,0.534,0.41853765135384613,0.2343269285346261,0.18421072281922005,0.4220689860674992,0.002672937223924484,0.4168300291086072,0.4273079430263912,0.41853765135384613,0.5,0.6336118692745164
interior,0.536,0.536,0.4183841869033642,0.23509221889713605,0.18329196800622816,0.4137521733807126,0.0026314450055836187,0.4085945411697687,0.41890980559165647,0.4183841869033642,0.5,0.6302853666592937
interior,0.538,0.538,0.41823453985378395,0.23585674435180104,0.1823777955019829,0.41540799610413276,0.0026438527900723686,0.4102260446355909,0.4205899475726746,0.41823453985378395,0.5,0.6269804861091121
interior,0.54,0.54,0.4180886881152709,0.23662050566314685,0.181468182452124,0.41852417323087976,0.002633151474264243,0.41336319634132185,0.42368515012043767,0.4180886881152709,0.5,0.6236970436762057
interior,0.542,0.542,0.41794660971121256,0.23738350359493465,0.1805631061162779,0.4130069890416783,0.0025959304691061495,0.40791896532223026,0.4180950127611264,0.41794660971121256,0.5,0.6204348574507607
interior,0.544,0.544,0.41780828277765153,0.23814573891016244,0.1796625438674891,0.4183988242142735,0.002673145949605613,0.4131594581530465,0.4236381902755005,0.41780828277765153,0.5,0.6171937475327326
interior,0.546,0.546,0.4176736855627201,0.2389072123710657,0.17876647319165437,0.4178944085500412,0.0026302659496310822,0.41273908728876424,0.4230497298113181,0.4176736855627201,0.5,0.6139735360041285
